"filename", "language", "C#", "XML", "comment", "blank", "total"
"e:\Code\.NET\BudgetManagement\BudgetManagement\AddTransactionForm.Designer.cs", "C#", 215, 0, 62, 5, 282
"e:\Code\.NET\BudgetManagement\BudgetManagement\AddTransactionForm.cs", "C#", 85, 0, 0, 9, 94
"e:\Code\.NET\BudgetManagement\BudgetManagement\AddWalletForm.Designer.cs", "C#", 160, 0, 47, 6, 213
"e:\Code\.NET\BudgetManagement\BudgetManagement\AddWalletForm.cs", "C#", 54, 0, 0, 10, 64
"e:\Code\.NET\BudgetManagement\BudgetManagement\BudgetManagement.csproj", "XML", 0, 176, 0, 0, 176
"e:\Code\.NET\BudgetManagement\BudgetManagement\CategogyModel.cs", "C#", 49, 0, 0, 2, 51
"e:\Code\.NET\BudgetManagement\BudgetManagement\Connection.cs", "C#", 84, 0, 0, 12, 96
"e:\Code\.NET\BudgetManagement\BudgetManagement\Dashboard.Designer.cs", "C#", 262, 0, 62, 6, 330
"e:\Code\.NET\BudgetManagement\BudgetManagement\Dashboard.cs", "C#", 312, 0, 1, 13, 326
"e:\Code\.NET\BudgetManagement\BudgetManagement\Form1.Designer.cs", "C#", 40, 0, 17, 5, 62
"e:\Code\.NET\BudgetManagement\BudgetManagement\Form1.cs", "C#", 48, 0, 0, 3, 51
"e:\Code\.NET\BudgetManagement\BudgetManagement\ImageProccess.cs", "C#", 28, 0, 0, 3, 31
"e:\Code\.NET\BudgetManagement\BudgetManagement\Login.Designer.cs", "C#", 338, 0, 95, 6, 439
"e:\Code\.NET\BudgetManagement\BudgetManagement\Login.cs", "C#", 213, 0, 0, 19, 232
"e:\Code\.NET\BudgetManagement\BudgetManagement\OvalPictureBox.Designer.cs", "C#", 21, 0, 11, 5, 37
"e:\Code\.NET\BudgetManagement\BudgetManagement\OvalPictureBox.cs", "C#", 23, 0, 0, 2, 25
"e:\Code\.NET\BudgetManagement\BudgetManagement\Program.cs", "C#", 18, 0, 4, 2, 24
"e:\Code\.NET\BudgetManagement\BudgetManagement\Properties\AssemblyInfo.cs", "C#", 15, 0, 17, 5, 37
"e:\Code\.NET\BudgetManagement\BudgetManagement\Properties\Resources.Designer.cs", "C#", 40, 0, 23, 9, 72
"e:\Code\.NET\BudgetManagement\BudgetManagement\Properties\Settings.Designer.cs", "C#", 16, 0, 9, 6, 31
"e:\Code\.NET\BudgetManagement\BudgetManagement\SecurePasswordHasher.cs", "C#", 64, 0, 38, 16, 118
"e:\Code\.NET\BudgetManagement\BudgetManagement\Transaction.Designer.cs", "C#", 92, 0, 32, 6, 130
"e:\Code\.NET\BudgetManagement\BudgetManagement\Transaction.cs", "C#", 66, 0, 0, 6, 72
"e:\Code\.NET\BudgetManagement\BudgetManagement\TransactionModel.cs", "C#", 72, 0, 0, 4, 76
"e:\Code\.NET\BudgetManagement\BudgetManagement\UserModel.cs", "C#", 82, 0, 0, 11, 93
"e:\Code\.NET\BudgetManagement\BudgetManagement\Wallet.Designer.cs", "C#", 77, 0, 26, 7, 110
"e:\Code\.NET\BudgetManagement\BudgetManagement\Wallet.cs", "C#", 78, 0, 0, 9, 87
"e:\Code\.NET\BudgetManagement\BudgetManagement\WalletImage.cs", "C#", 41, 0, 3, 7, 51
"e:\Code\.NET\BudgetManagement\BudgetManagement\WalletModel.cs", "C#", 51, 0, 0, 7, 58
"e:\Code\.NET\BudgetManagement\BudgetManagement\bin\Debug\System.Buffers.xml", "XML", 0, 38, 0, 0, 38
"e:\Code\.NET\BudgetManagement\BudgetManagement\bin\Debug\System.Memory.xml", "XML", 0, 353, 0, 2, 355
"e:\Code\.NET\BudgetManagement\BudgetManagement\bin\Debug\System.Numerics.Vectors.xml", "XML", 0, 2621, 0, 0, 2621
"e:\Code\.NET\BudgetManagement\BudgetManagement\bin\Debug\System.Runtime.CompilerServices.Unsafe.xml", "XML", 0, 200, 0, 0, 200
"e:\Code\.NET\BudgetManagement\BudgetManagement\bin\Debug\YamlDotNet.xml", "XML", 0, 4872, 0, 11, 4883
"Total", "-", 2644, 8260, 447, 214, 11565